rho,full_arg_hudson,full_arg_smc,unary_coal,fully_simplified,tsinfer_tsdate,tsinfer_fs_tsdate,poly_full_arg_smc_0.05,poly_unary_coal_0.05,poly_fully_simplified_0.05,poly_full_arg_smc_0.25,poly_unary_coal_0.25,poly_fully_simplified_0.25,poly_full_arg_smc_0.5,poly_unary_coal_0.5,poly_fully_simplified_0.5,poly_full_arg_smc_0.75,poly_unary_coal_0.75,poly_fully_simplified_0.75
1.25e-08,-221045.59656820766,-75650.4657452942,-71096.18729765175,-128242.98267283327,-81996.63309753501,-99961.6318459188,-74979.51671755832,-70319.9199056944,-129080.86172385207,-72761.43974842984,-66661.54941987019,-139343.77504538873,-70389.5627735497,-66406.17789057893,-220680.61544824232,-73850.20671826281,-87249.77371931568,-667012.5348417478
1e-09,-225853.40638451025,-80539.25017582336,-75984.94524577174,-145469.50410817855,-87536.78232354452,-111270.37637166932,-79886.82923490078,-75270.84934053976,-146490.68002690343,-77775.4027540936,-71724.92794224505,-158409.60685836908,-75725.79789853867,-72128.39531385744,-248298.0577123957,-80228.1944078452,-95384.81487850676,-720526.2409913826
1.1253355826007645e-09,-225527.26250953643,-80212.22377909976,-75657.91913765938,-144565.65550175126,-87131.54499845245,-110613.94321926562,-79558.42370311556,-74939.97625077845,-145573.87667907923,-77439.85830093945,-71384.22666735492,-157389.5437150075,-75369.44526722252,-71742.66194429979,-246779.92575268156,-79797.1907258504,-94824.72894705781,-717428.0521345005
1.2663801734674022e-09,-225204.98095771088,-79888.94909411164,-75334.64477749147,-143665.55921828406,-86727.84037875754,-109962.37677718213,-79233.78942559882,-74612.89073781588,-144660.99273836627,-77108.1671271512,-71047.48712770843,-156374.384451577,-75017.16466940177,-71361.43249707983,-245270.4417747536,-79371.2476954844,-94271.49200956812,-714352.5844531602
1.4251026703029963e-09,-224887.04581555424,-79569.89634389208,-75015.59239278347,-142769.6855573564,-86340.22696478892,-109316.28702350544,-78913.39907475814,-74290.06751979826,-143752.519445934,-76780.81218574924,-70715.20586970105,-155364.74369871774,-74669.4664758227,-70985.271473928,-243770.689678442,-78950.99959647008,-93725.96248868851,-711302.6857191744
1.6037187437513277e-09,-224574.0018428736,-79255.59468704452,-74701.29114728939,-141878.563763829,-85951.50437784145,-108676.36037194691,-78597.78456556625,-73972.04081394523,-142849.00961295946,-76458.33696094429,-70387.94167465961,-154361.31312217718,-74326.92502473984,-70614.81412872864,-242281.8892148103,-78537.16020634439,-93189.1063979684,-708281.5606314513
1.8047217668271665e-09,-224266.4620772066,-78946.6396046755,-74392.3365278099,-140992.78941576558,-85571.71276535715,-108043.36929551236,-78287.5444809683,-73659.41179390336,-141951.08533751982,-76141.35305485927,-70066.3233590928,-153364.87107801248,-73990.18663952903,-70250.77533527924,-240805.41301310918,-78130.5327643695,-92662.01082683113,-705292.8155516579
2.0309176209047387e-09,-223965.11639158093,-78643.70121279369,-74089.3986568312,-140113.03273835673,-85201.79405776072,-107418.18305204174,-77983.35242758432,-73352.85698176744,-141059.44668871973,-75830.54872512347,-69751.05855259387,-152376.29347799852,-73659.97865081433,-69893.95956650296,-239342.8057418856,-77732.02118426835,-92145.89911568165,-702340.5088470234
2.285463864134993e-09,-223670.7411246239,-78347.53361681262,-73793.2316470325,-139240.0479598578,-84842.73176531006,-106801.77987546907,-77685.96643893568,-73053.13769192534,-140174.8814792348,-75526.69849254095,-69442.94357592415,-151396.5660168249,-73337.11954965166,-69545.2721244058,-237895.8056716219,-77342.64267231751,-91642.14793301371,-699429.2075424802
2.571913809059347e-09,-223384.20991779692,-78058.9854383519,-73504.68412824345,-138374.68384016646,-84493.05494078639,-106195.26058650574,-77396.23955708188,-72761.11065854454,-139298.27626270548,-75230.67395292898,-69142.87455716936,-150426.7979317995,-73022.53041311212,-69205.7317775466,-236466.3689399382,-76963.54192693403,-91152.30649286413,-696564.0510737934
2.8942661247167516e-09,-223106.50591096416,-77779.01166157654,-73224.71109380902,-137517.89551899108,-84157.15898847581,-105599.86400135847,-77115.13174066629,-72477.73999507083,-138430.62870948165,-74943.45594407502,-68851.85994115201,-149468.23748712905,-72717.24776206297,-68876.4849824356,-235056.69685810353,-76596.00711797894,-90678.11818091311,-693750.8230307597
3.257020655659783e-09,-222838.73546637708,-77508.68696411539,-72954.38723172012,-136670.75784902318,-83834.52541929088,-105016.98417631767,-76843.72326527536,-72204.11065266808,-137573.06153350175,-74666.14823764266,-68571.03456671399,-148522.28939893877,-72422.43803028214,-68558.82188737766,-233669.26664001888,-76241.48786883053,-90221.54489110476,-690996.0318929186
3.665241237079626e-09,-222582.14361284667,-77249.22071892991,-72694.92192661407,-135834.48040025594,-83530.69951535141,-104448.18992442776,-76583.22980345126,-71941.44356548807,-136726.83816472333,-74399.9929471592,-68301.67550838387,-147590.53444427406,-72139.41384719149,-68254.19434216617,-232306.86598263055,-75901.61549226064,-89784.79441249877,-688307.0018837687
4.124626382901348e-09,-222338.13142559413,-77001.97387646437,-72447.67614205566,-135010.42434483662,-83243.99743471436,-103895.24665173053,-76335.01939478051,-71691.11269417456,-135893.38038582384,-74146.38786717312,-68045.21990357067,-146674.75152778736,-71869.65236140476,-67964.2361650358,-230972.63198050126,-75578.22576257601,-89370.35124868585,-685691.9752127327
